Table 4-51:  Air Pollution Trends in Selected Metropolitan Statistical Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Number of days with AQI values greater than 100 at monitoring sites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sites in 2010,Sites in 2020,Number of days with AQI > 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Akron, OH",7,6,230,123,113,143,119,133,81,60,75,77,88,102,68,93,90,74,70,74,42,38,17,4,18,7,7,3,1,1,1,0,1,3,4
"Albany-Schenectady-Troy, NY",6,8,87,24,28,27,17,17,18,23,13,13,15,28,8,25,35,17,17,20,9,24,11,3,9,3,8,0,0,2,3,0,3,0,3
"Albuquerque, NM",(R) 22,18,51,19,26,15,7,9,17,15,21,15,21,20,35,17,28,57,23,26,27,26,6,3,5,28,25,9,1,4,3,4,24,4,10
"Allentown-Bethlehem-Easton, PA",7,7,104,61,34,46,21,44,51,42,38,36,53,48,35,52,49,33,35,39,34,50,21,3,31,39,18,14,8,6,11,6,5,4,1
"Atlanta-Sandy Springs-Roswell, GA",27,28,118,68,146,103,94,120,63,92,74,83,114,136,117,91,73,59,55,71,92,86,54,25,47,67,28,13,18,16,32,11,10,19,3
"Atlantic City-Hammonton, NJ",3,3,74,61,34,71,25,36,24,37,33,44,49,35,14,26,35,21,5,20,12,13,6,4,9,5,9,3,1,2,1,0,1,1,0
"Austin-Round Rock, TX",11,11,19,26,20,16,21,11,16,48,8,30,25,48,35,13,16,20,13,18,36,8,14,5,10,14,8,4,0,10,1,4,9,2,2
"Bakersfield, CA",20,24,162,154,177,163,155,163,156,156,146,134,137,196,204,204,231,224,207,169,180,184,195,169,125,140,142,136,160,122,116,139,130,95,129
"Baltimore-Columbia-Towson, MD",14,17,142,122,86,98,60,106,86,84,74,68,90,79,61,80,85,55,53,63,55,71,42,21,53,37,35,10,5,15,24,15,16,13,3
"Baton Rouge, LA",14,16,76,88,81,64,78,73,72,94,76,90,74,90,105,60,61,65,73,117,82,65,55,36,45,40,28,9,13,17,9,8,19,9,6
"Birmingham-Hoover, AL",31,33,63,38,66,31,40,66,50,60,40,44,59,118,124,105,67,62,42,69,78,74,31,7,30,39,20,3,6,6,11,10,(R) 8,18,3
"Boston-Cambridge-Newton, MA-NH",23,17,126,169,98,80,87,71,53,54,45,55,50,68,22,38,66,33,17,36,34,37,18,7,10,7,13,9,5,4,7,5,5,1,0
"Bradenton-Sarasota-Venice, FL",10,11,3,N,17,14,19,16,13,12,16,23,30,36,35,27,9,19,32,20,14,10,8,7,6,7,3,4,1,1,0,3,2,2,0
"Bridgeport-Stamford-Norwalk, CT",11,11,227,99,70,62,32,37,61,34,33,36,47,39,31,41,50,32,23,36,29,38,31,12,29,20,29,25,14,30,23,16,21,21,13
"Buffalo-Cheektowaga-Niagara Falls, NY",8,12,281,181,143,189,153,142,123,108,69,109,106,106,102,95,101,66,70,52,23,45,10,3,9,7,14,4,1,4,6,1,3,0,2
"Charleston-North Charleston, SC",(R) 8,8,41,16,17,15,24,27,14,7,8,9,30,25,21,7,12,5,10,16,19,6,8,0,2,4,1,0,0,1,5,1,0,1,1
"Charlotte-Concord-Gastonia, NC-SC",24,28,167,82,82,62,45,80,52,63,73,77,97,97,82,82,76,50,42,71,59,85,50,10,38,45,26,3,5,11,9,5,10,18,2
"Chicago-Naperville-Joliet, IL-IN-WI",(R) 66,71,301,295,200,212,167,143,133,110,83,103,140,146,126,116,85,68,79,94,42,71,62,39,43,32,59,20,21,14,28,25,26,17,28
"Cincinnati-Middletown, OH-KY-IN",(R) 21,22,245,271,223,310,158,171,159,90,126,126,110,120,107,118,124,104,113,110,57,81,41,17,50,57,59,17,20,13,18,10,13,20,8
"Cleveland-Elyria, OH",(R) 25,22,176,272,213,207,166,202,187,138,128,117,119,157,93,100,110,97,77,120,81,84,67,69,96,84,67,15,18,20,24,7,15,7,15
"Columbia, SC",(R) 10,9,84,34,79,43,42,67,26,31,37,41,73,61,59,55,52,34,40,35,37,35,28,4,12,22,3,0,3,0,5,2,1,2,1
"Columbus, OH",11,9,92,59,45,78,34,47,61,53,50,40,70,75,42,50,62,35,30,50,27,47,22,5,23,21,29,6,7,5,10,3,3,1,3
"Dallas-Fort Worth-Arlington, TX",48,48,107,98,67,60,47,46,73,96,86,84,105,111,126,105,71,73,63,99,74,52,49,51,28,66,62,46,28,44,18,24,36,29,24
